Plate,Well
1093711385,B10
1093711385,B11
1093711385,B12
1093711385,B13
1093711385,B14
1093711385,B15
1093711385,B16
1093711385,B17
1093711385,B18
1093711385,B19
1093711385,B2
1093711385,B20
1093711385,B21
1093711385,B22
1093711385,B23
1093711385,B3
1093711385,B4
1093711385,B5
1093711385,B6
1093711385,B7
1093711385,B8
1093711385,B9
1093711385,C10
1093711385,C11
1093711385,C12
1093711385,C13
1093711385,C14
1093711385,C15
1093711385,C16
1093711385,C17
1093711385,C18
1093711385,C19
1093711385,C2
1093711385,C20
1093711385,C21
1093711385,C22
1093711385,C23
1093711385,C3
1093711385,C4
1093711385,C5
1093711385,C6
1093711385,C7
1093711385,C8
1093711385,C9
1093711385,D10
1093711385,D11
1093711385,D12
1093711385,D13
1093711385,D14
1093711385,D15
1093711385,D16
1093711385,D17
1093711385,D18
1093711385,D19
1093711385,D2
1093711385,D20
1093711385,D21
1093711385,D22
1093711385,D23
1093711385,D3
1093711385,D4
1093711385,D5
1093711385,D6
1093711385,D7
1093711385,D8
1093711385,D9
1093711385,E10
1093711385,E11
1093711385,E12
1093711385,E13
1093711385,E14
1093711385,E15
1093711385,E16
1093711385,E17
1093711385,E18
1093711385,E19
1093711385,E2
1093711385,E20
1093711385,E21
1093711385,E22
1093711385,E23
1093711385,E3
1093711385,E4
1093711385,E5
1093711385,E6
1093711385,E7
1093711385,E8
1093711385,E9
1093711385,F10
1093711385,F11
1093711385,F12
1093711385,F13
1093711385,F14
1093711385,F15
1093711385,F16
1093711385,F17
1093711385,F18
1093711385,F19
1093711385,F2
1093711385,F20
1093711385,F21
1093711385,F22
1093711385,F23
1093711385,F3
1093711385,F4
1093711385,F5
1093711385,F6
1093711385,F7
1093711385,F8
1093711385,F9
1093711385,G10
1093711385,G11
1093711385,G12
1093711385,G13
1093711385,G14
1093711385,G15
1093711385,G16
1093711385,G17
1093711385,G18
1093711385,G19
1093711385,G2
1093711385,G20
1093711385,G21
1093711385,G22
1093711385,G23
1093711385,G3
1093711385,G4
1093711385,G5
1093711385,G6
1093711385,G7
1093711385,G8
1093711385,G9
1093711385,H10
1093711385,H11
1093711385,H12
1093711385,H13
1093711385,H14
1093711385,H15
1093711385,H16
1093711385,H17
1093711385,H18
1093711385,H19
1093711385,H2
1093711385,H20
1093711385,H21
1093711385,H22
1093711385,H23
1093711385,H3
1093711385,H4
1093711385,H5
1093711385,H6
1093711385,H7
1093711385,H8
1093711385,H9
1093711385,I10
1093711385,I11
1093711385,I12
1093711385,I13
1093711385,I14
1093711385,I15
1093711385,I16
1093711385,I17
1093711385,I18
1093711385,I19
1093711385,I2
1093711385,I20
1093711385,I21
1093711385,I22
1093711385,I23
1093711385,I3
1093711385,I4
1093711385,I5
1093711385,I6
1093711385,I7
1093711385,I8
1093711385,I9
1093711385,J10
1093711385,J11
1093711385,J12
1093711385,J13
1093711385,J14
1093711385,J15
1093711385,J16
1093711385,J17
1093711385,J18
1093711385,J19
1093711385,J2
1093711385,J20
1093711385,J21
1093711385,J22
1093711385,J23
1093711385,J3
1093711385,J4
1093711385,J5
1093711385,J6
1093711385,J7
1093711385,J8
1093711385,J9
1093711385,K10
1093711385,K11
1093711385,K12
1093711385,K13
1093711385,K14
1093711385,K15
1093711385,K16
1093711385,K17
1093711385,K18
1093711385,K19
1093711385,K2
1093711385,K20
1093711385,K21
1093711385,K22
1093711385,K23
1093711385,K3
1093711385,K4
1093711385,K5
1093711385,K6
1093711385,K7
1093711385,K8
1093711385,K9
1093711385,L10
1093711385,L11
1093711385,L12
1093711385,L13
1093711385,L14
1093711385,L15
1093711385,L16
1093711385,L17
1093711385,L18
1093711385,L19
1093711385,L2
1093711385,L20
1093711385,L21
1093711385,L22
1093711385,L23
1093711385,L3
1093711385,L4
1093711385,L5
1093711385,L6
1093711385,L7
1093711385,L8
1093711385,L9
1093711385,M10
1093711385,M11
1093711385,M12
1093711385,M13
1093711385,M14
1093711385,M15
1093711385,M16
1093711385,M17
1093711385,M18
1093711385,M19
1093711385,M2
1093711385,M20
1093711385,M21
1093711385,M22
1093711385,M23
1093711385,M3
1093711385,M4
1093711385,M5
1093711385,M6
1093711385,M7
1093711385,M8
1093711385,M9
1093711385,N10
1093711385,N11
1093711385,N12
1093711385,N13
1093711385,N14
1093711385,N15
1093711385,N16
1093711385,N17
1093711385,N18
1093711385,N19
1093711385,N2
1093711385,N20
1093711385,N21
1093711385,N22
1093711385,N23
1093711385,N3
1093711385,N4
1093711385,N5
1093711385,N6
1093711385,N7
1093711385,N8
1093711385,N9
1093711385,O10
1093711385,O11
1093711385,O12
1093711385,O13
1093711385,O14
1093711385,O15
1093711385,O16
1093711385,O17
1093711385,O18
1093711385,O19
1093711385,O2
1093711385,O20
1093711385,O21
1093711385,O22
1093711385,O23
1093711385,O3
1093711385,O4
1093711385,O5
1093711385,O6
1093711385,O7
1093711385,O8
1093711385,O9
1093711392,B10
1093711392,B11
1093711392,B12
1093711392,B13
1093711392,B14
1093711392,B15
1093711392,B16
1093711392,B17
1093711392,B18
1093711392,B19
1093711392,B2
1093711392,B20
1093711392,B21
1093711392,B22
1093711392,B23
1093711392,B3
1093711392,B4
1093711392,B5
1093711392,B6
1093711392,B7
1093711392,B8
1093711392,B9
1093711392,C10
1093711392,C11
1093711392,C12
1093711392,C13
1093711392,C14
1093711392,C15
1093711392,C16
1093711392,C17
1093711392,C18
1093711392,C19
1093711392,C2
1093711392,C20
1093711392,C21
1093711392,C22
1093711392,C23
1093711392,C3
1093711392,C4
1093711392,C5
1093711392,C6
1093711392,C7
1093711392,C8
1093711392,C9
1093711392,D10
1093711392,D11
1093711392,D12
1093711392,D13
1093711392,D14
1093711392,D15
1093711392,D16
1093711392,D17
1093711392,D18
1093711392,D19
1093711392,D2
1093711392,D20
1093711392,D21
1093711392,D22
1093711392,D23
1093711392,D3
1093711392,D4
1093711392,D5
1093711392,D6
1093711392,D7
1093711392,D8
1093711392,D9
1093711392,E10
1093711392,E11
1093711392,E12
1093711392,E13
1093711392,E14
1093711392,E15
1093711392,E16
1093711392,E17
1093711392,E18
1093711392,E19
1093711392,E2
1093711392,E20
1093711392,E21
1093711392,E22
1093711392,E23
1093711392,E3
1093711392,E4
1093711392,E5
1093711392,E6
1093711392,E7
1093711392,E8
