Plate,Well
1093688939,A1
1093688939,A2
1093688939,A3
1093688939,A4
1093688939,A5
1093688939,A6
1093688939,A7
1093688939,A8
1093688939,A9
1093688939,A10
1093688939,A11
1093688939,A12
1093688939,A13
1093688939,A14
1093688939,A15
1093688939,A16
1093688939,A17
1093688939,A18
1093688939,A19
1093688939,A20
1093688939,A21
1093688939,A22
1093688939,A23
1093688939,A24
1093688939,B1
1093688939,B2
1093688939,B3
1093688939,B4
1093688939,B5
1093688939,B6
1093688939,B7
1093688939,B8
1093688939,B9
1093688939,B10
1093688939,B11
1093688939,B12
1093688939,B13
1093688939,B14
1093688939,B15
1093688939,B16
1093688939,B17
1093688939,B18
1093688939,B19
1093688939,B20
1093688939,B21
1093688939,B22
1093688939,B23
1093688939,B24
1093688939,C1
1093688939,C2
1093688939,C3
1093688939,C4
1093688939,C5
1093688939,C6
1093688939,C7
1093688939,C8
1093688939,C9
1093688939,C10
1093688939,C11
1093688939,C12
1093688939,C13
1093688939,C14
1093688939,C15
1093688939,C16
1093688939,C17
1093688939,C18
1093688939,C19
1093688939,C20
1093688939,C21
1093688939,C22
1093688939,C23
1093688939,C24
1093688939,D1
1093688939,D2
1093688939,D3
1093688939,D4
1093688939,D5
1093688939,D6
1093688939,D7
1093688939,D8
1093688939,D9
1093688939,D10
1093688939,D11
1093688939,D12
1093688939,D13
1093688939,D14
1093688939,D15
1093688939,D16
1093688939,D17
1093688939,D18
1093688939,D19
1093688939,D20
1093688939,D21
1093688939,D22
1093688939,D23
1093688939,D24
1093688939,E1
1093688939,E2
1093688939,E3
1093688939,E4
1093688939,E5
1093688939,E6
1093688939,E7
1093688939,E8
1093688939,E9
1093688939,E10
1093688939,E11
1093688939,E12
1093688939,E13
1093688939,E14
1093688939,E15
1093688939,E16
1093688939,E17
1093688939,E18
1093688939,E19
1093688939,E20
1093688939,E21
1093688939,E22
1093688939,E23
1093688939,E24
1093688939,F1
1093688939,F2
1093688939,F3
1093688939,F4
1093688939,F5
1093688939,F6
1093688939,F7
1093688939,F8
1093688939,F9
1093688939,F10
1093688939,F11
1093688939,F12
1093688939,F13
1093688939,F14
1093688939,F15
1093688939,F16
1093688939,F17
1093688939,F18
1093688939,F19
1093688939,F20
1093688939,F21
1093688939,F22
1093688939,F23
1093688939,F24
1093688939,G1
1093688939,G2
1093688939,G3
1093688939,G4
1093688939,G5
1093688939,G6
1093688939,G7
1093688939,G8
1093688939,G9
1093688939,G10
1093688939,G11
1093688939,G12
1093688939,G13
1093688939,G14
1093688939,G15
1093688939,G16
1093688939,G17
1093688939,G18
1093688939,G19
1093688939,G20
1093688939,G21
1093688939,G22
1093688939,G23
1093688939,G24
1093688939,H1
1093688939,H2
1093688939,H3
1093688939,H4
1093688939,H5
1093688939,H6
1093688939,H7
1093688939,H8
1093688939,H9
1093688939,H10
1093688939,H11
1093688939,H12
1093688939,H13
1093688939,H14
1093688939,H15
1093688939,H16
1093688939,H17
1093688939,H18
1093688939,H19
1093688939,H20
1093688939,H21
1093688939,H22
1093688939,H23
1093688939,H24
1093688939,I1
1093688939,I2
1093688939,I3
1093688939,I4
1093688939,I5
1093688939,I6
1093688939,I7
1093688939,I8
1093688939,I9
1093688939,I10
1093688939,I11
1093688939,I12
1093688939,I13
1093688939,I14
1093688939,I15
1093688939,I16
1093688939,I17
1093688939,I18
1093688939,I19
1093688939,I20
1093688939,I21
1093688939,I22
1093688939,I23
1093688939,I24
1093688939,J1
1093688939,J2
1093688939,J3
1093688939,J4
1093688939,J5
1093688939,J6
1093688939,J7
1093688939,J8
1093688939,J9
1093688939,J10
1093688939,J11
1093688939,J12
1093688939,J13
1093688939,J14
1093688939,J15
1093688939,J16
1093688939,J17
1093688939,J18
1093688939,J19
1093688939,J20
1093688939,J21
1093688939,J22
1093688939,J23
1093688939,J24
1093688939,K1
1093688939,K2
1093688939,K3
1093688939,K4
1093688939,K5
1093688939,K6
1093688939,K7
1093688939,K8
1093688939,K9
1093688939,K10
1093688939,K11
1093688939,K12
1093688939,K13
1093688939,K14
1093688939,K15
1093688939,K16
1093688939,K17
1093688939,K18
1093688939,K19
1093688939,K20
1093688939,K21
1093688939,K22
1093688939,K23
1093688939,K24
1093688939,L1
1093688939,L2
1093688939,L3
1093688939,L4
1093688939,L5
1093688939,L6
1093688939,L7
1093688939,L8
1093688939,L9
1093688939,L10
1093688939,L11
1093688939,L12
1093688939,L13
1093688939,L14
1093688939,L15
1093688939,L16
1093688939,L17
1093688939,L18
1093688939,L19
1093688939,L20
1093688939,L21
1093688939,L22
1093688939,L23
1093688939,L24
1093688939,M1
1093688939,M2
1093688939,M3
1093688939,M4
1093688939,M5
1093688939,M6
1093688939,M7
1093688939,M8
1093688939,M9
1093688939,M10
1093688939,M11
1093688939,M12
1093688939,M13
1093688939,M14
1093688939,M15
1093688939,M16
1093688939,M17
1093688939,M18
1093688939,M19
1093688939,M20
1093688939,M21
1093688939,M22
1093688939,M23
1093688939,M24
1093688939,N1
1093688939,N2
1093688939,N3
1093688939,N4
1093688939,N5
1093688939,N6
1093688939,N7
1093688939,N8
1093688939,N9
1093688939,N10
1093688939,N11
1093688939,N12
1093688939,N13
1093688939,N14
1093688939,N15
1093688939,N16
1093688939,N17
1093688939,N18
1093688939,N19
1093688939,N20
1093688939,N21
1093688939,N22
1093688939,N23
1093688939,N24
1093688939,O1
1093688939,O2
1093688939,O3
1093688939,O4
1093688939,O5
1093688939,O6
1093688939,O7
1093688939,O8
1093688939,O9
1093688939,O10
1093688939,O11
1093688939,O12
1093688939,O13
1093688939,O14
1093688939,O15
1093688939,O16
1093688939,O17
1093688939,O18
1093688939,O19
1093688939,O20
1093688939,O21
1093688939,O22
1093688939,O23
1093688939,O24
1093688939,P1
1093688939,P2
1093688939,P3
1093688939,P4
1093688939,P5
1093688939,P6
1093688939,P7
1093688939,P8
1093688939,P9
1093688939,P10
1093688939,P11
1093688939,P12
1093688939,P13
1093688939,P14
1093688939,P15
1093688939,P16
1093688939,P17
1093688939,P18
1093688939,P19
1093688939,P20
1093688939,P21
1093688939,P22
1093688939,P23
1093688939,P24
1093688946,A1
1093688946,A2
1093688946,A3
1093688946,A4
1093688946,A5
1093688946,A6
1093688946,A7
1093688946,A8
1093688946,A9
1093688946,A10
1093688946,A11
1093688946,A12
1093688946,A13
1093688946,A14
1093688946,A15
1093688946,A16
1093688946,A17
1093688946,A18
1093688946,A19
1093688946,A20
1093688946,A21
1093688946,A22
1093688946,A23
1093688946,A24
1093688946,B1
1093688946,B2
1093688946,B3
1093688946,B4
1093688946,B5
1093688946,B6
1093688946,B7
1093688946,B8
1093688946,B9
1093688946,B10
1093688946,B11
1093688946,B12
1093688946,B13
1093688946,B14
1093688946,B15
1093688946,B16
1093688946,B17
1093688946,B18
1093688946,B19
1093688946,B20
1093688946,B21
1093688946,B22
1093688946,B23
1093688946,B24
1093688946,C1
1093688946,C2
1093688946,C3
1093688946,C4
1093688946,C5
1093688946,C6
1093688946,C7
1093688946,C8
1093688946,C9
1093688946,C10
1093688946,C11
1093688946,C12
1093688946,C13
1093688946,C14
1093688946,C15
1093688946,C16
1093688946,C17
1093688946,C18
1093688946,C19
1093688946,C20
1093688946,C21
1093688946,C22
1093688946,C23
1093688946,C24
1093688946,D1
1093688946,D2
1093688946,D3
1093688946,D4
1093688946,D5
1093688946,D6
1093688946,D7
1093688946,D8
1093688946,D9
1093688946,D10
1093688946,D11
1093688946,D12
1093688946,D13
1093688946,D14
1093688946,D15
1093688946,D16
1093688946,D17
1093688946,D18
1093688946,D19
1093688946,D20
1093688946,D21
1093688946,D22
1093688946,D23
1093688946,D24
1093688946,E1
1093688946,E2
1093688946,E3
1093688946,E4
1093688946,E5
1093688946,E6
1093688946,E7
1093688946,E8
1093688946,E9
1093688946,E10
1093688946,E11
1093688946,E12
1093688946,E13
1093688946,E14
1093688946,E15
1093688946,E16
1093688946,E17
1093688946,E18
1093688946,E19
1093688946,E20
1093688946,E21
1093688946,E22
1093688946,E23
1093688946,E24
1093688946,F1
1093688946,F2
1093688946,F3
1093688946,F4
1093688946,F5
1093688946,F6
1093688946,F7
1093688946,F8
1093688946,F9
1093688946,F10
1093688946,F11
1093688946,F12
1093688946,F13
1093688946,F14
1093688946,F15
1093688946,F16
1093688946,F17
1093688946,F18
1093688946,F19
1093688946,F20
1093688946,F21
1093688946,F22
1093688946,F23
1093688946,F24
1093688946,G1
1093688946,G2
1093688946,G3
1093688946,G4
1093688946,G5
1093688946,G6
1093688946,G7
1093688946,G8
1093688946,G9
1093688946,G10
1093688946,G11
1093688946,G12
1093688946,G13
1093688946,G14
1093688946,G15
1093688946,G16
1093688946,G17
1093688946,G18
1093688946,G19
1093688946,G20
1093688946,G21
1093688946,G22
1093688946,G23
