Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Comment [Cell Line],Proprietary Compound,Compound Concentration (microMolar),Compound InChIKey,Compound SMILES,Comment [Gene Identifier],Comment [Gene Symbol],Control Type,Channels,Score,Has Phenotype,Phenoptye Annotation Level,Phenotype,Phenotype Term Name,Phenotype Term Accession
1093670873,A1,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,,,,,,,Neutral Control,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,82.69949341,,,,,
1093670873,A2,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,,,,,,,Stimulator Control,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,634.9001465,,,,,
1093670873,A3,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,,,,,,,Neutral Control,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,95.16107941,,,,,
1093670873,A4,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1070008356,30,,,5127,CDK16,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1418.350464,,,,,
1093670873,A5,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1070008356,10,,,5127,CDK16,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1490.268311,,,,,
1093670873,A6,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1070008356,3.125,,,5127,CDK16,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1411.853271,,,,,
1093670873,A7,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1070008356,1.25,,,5127,CDK16,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1535.597168,,,,,
1093670873,A8,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1070008356,0.3,,,5127,CDK16,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,868.4274902,,,,,
1093670873,A9,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1070008356,0.1,,,5127,CDK16,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,198.8613129,,,,,
1093670873,A10,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1070008356,0.03,,,5127,CDK16,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,124.776474,,,,,
1093670873,A11,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1070008356,0.0125,,,5127,CDK16,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,120.5510559,,,,,
1093670873,A12,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,,,,,,,Neutral Control,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,125.6781006,,,,,
1093670873,A13,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,,,,,,,Stimulator Control,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,863.4307861,,,,,
1093670873,A14,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,,,,,,,Neutral Control,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,127.1224823,,,,,
1093670873,A15,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1070008356,0.003,,,5127,CDK16,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,245.2508698,,,,,
1093670873,A16,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1070008356,0.001,,,5127,CDK16,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,153.1324921,,,,,
1093670873,A17,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1070008356,0.0003,,,5127,CDK16,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,165.2301636,,,,,
1093670873,A18,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1070008356,0.00003,,,5127,CDK16,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,242.0385132,,,,,
1093670873,A19,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1151669528,30,,,83903,GSG2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,997.4315186,,,,,
1093670873,A20,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1151669528,10,,,83903,GSG2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1159.039673,,,,,
1093670873,A21,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1151669528,3.125,,,83903,GSG2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1539.516968,,,,,
1093670873,A22,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1151669528,1.25,,,83903,GSG2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1508.097534,,,,,
1093670873,A23,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,,,,,,,Neutral Control,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,115.1355438,,,,,
1093670873,A24,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,,,,,,,Stimulator Control,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,880.5654297,,,,,
1093670873,B1,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1151669528,0.3,,,83903,GSG2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,100.2576141,,,,,
1093670873,B2,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1151669528,0.1,,,83903,GSG2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,57.3284111,,,,,
1093670873,B3,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1151669528,0.03,,,83903,GSG2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,80.25737762,,,,,
1093670873,B4,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1151669528,0.0125,,,83903,GSG2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,59.87043762,,,,,
1093670873,B5,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1151669528,0.003,,,83903,GSG2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,60.14967346,,,,,
1093670873,B6,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1151669528,0.001,,,83903,GSG2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,59.38994217,,,,,
1093670873,B7,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1151669528,0.0003,,,83903,GSG2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,59.48711014,,,,,
1093670873,B8,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1151669528,0.00003,,,83903,GSG2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,54.75971985,,,,,
1093670873,B9,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1057353095,30,,,55775,TDP1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,990.1808472,,,,,
1093670873,B10,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1057353095,10,,,55775,TDP1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1030.16394,,,,,
1093670873,B11,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1057353095,3.125,,,55775,TDP1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1015.09436,,,,,
1093670873,B12,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1057353095,1.25,,,55775,TDP1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,424.369812,,,,,
1093670873,B13,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1057353095,0.3,,,55775,TDP1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,89.91692352,,,,,
1093670873,B14,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1057353095,0.1,,,55775,TDP1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,99.75765991,,,,,
1093670873,B15,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1057353095,0.03,,,55775,TDP1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,99.38683319,,,,,
1093670873,B16,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1057353095,0.0125,,,55775,TDP1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,91.64929199,,,,,
1093670873,B17,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1057353095,0.003,,,55775,TDP1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,73.4148941,,,,,
1093670873,B18,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1057353095,0.001,,,55775,TDP1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,97.15124512,,,,,
1093670873,B19,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1057353095,0.0003,,,55775,TDP1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,104.7572861,,,,,
1093670873,B20,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1057353095,0.00003,,,55775,TDP1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,79.35447693,,,,,
1093670873,B21,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1089541426,30,,,3417,IDH1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1162.909302,,,,,
1093670873,B22,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1089541426,10,,,3417,IDH1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1014.370483,,,,,
1093670873,B23,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1089541426,3.125,,,3417,IDH1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,981.3287354,,,,,
1093670873,B24,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1089541426,1.25,,,3417,IDH1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1083.924561,,,,,
1093670873,C1,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1089541426,0.3,,,3417,IDH1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,691.2858276,,,,,
1093670873,C2,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1089541426,0.1,,,3417,IDH1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,818.5535278,,,,,
1093670873,C3,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1089541426,0.03,,,3417,IDH1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,402.9933777,,,,,
1093670873,C4,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,SN1089541426,0.0125,,,3417,IDH1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,228.9353485,,,,,
1093670873,C5,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,,,,,,,Neutral Control,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,40.04509735,,,,,
1093670873,C6,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,,,,,,,Stimulator Control,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,655.0292358,,,,,
1093670873,C7,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,,,,,,,Neutral Control,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,54.08718109,,,,,
