Plate,Well
1093670873,A1
1093670873,A2
1093670873,A3
1093670873,A4
1093670873,A5
1093670873,A6
1093670873,A7
1093670873,A8
1093670873,A9
1093670873,A10
1093670873,A11
1093670873,A12
1093670873,A13
1093670873,A14
1093670873,A15
1093670873,A16
1093670873,A17
1093670873,A18
1093670873,A19
1093670873,A20
1093670873,A21
1093670873,A22
1093670873,A23
1093670873,A24
1093670873,B1
1093670873,B2
1093670873,B3
1093670873,B4
1093670873,B5
1093670873,B6
1093670873,B7
1093670873,B8
1093670873,B9
1093670873,B10
1093670873,B11
1093670873,B12
1093670873,B13
1093670873,B14
1093670873,B15
1093670873,B16
1093670873,B17
1093670873,B18
1093670873,B19
1093670873,B20
1093670873,B21
1093670873,B22
1093670873,B23
1093670873,B24
1093670873,C1
1093670873,C2
1093670873,C3
1093670873,C4
1093670873,C5
1093670873,C6
1093670873,C7
1093670873,C8
1093670873,C9
1093670873,C10
1093670873,C11
1093670873,C12
1093670873,C13
1093670873,C14
1093670873,C15
1093670873,C16
1093670873,C17
1093670873,C18
1093670873,C19
1093670873,C20
1093670873,C21
1093670873,C22
1093670873,C23
1093670873,C24
1093670873,D1
1093670873,D2
1093670873,D3
1093670873,D4
1093670873,D5
1093670873,D6
1093670873,D7
1093670873,D8
1093670873,D9
1093670873,D10
1093670873,D11
1093670873,D12
1093670873,D13
1093670873,D14
1093670873,D15
1093670873,D16
1093670873,D17
1093670873,D18
1093670873,D19
1093670873,D20
1093670873,D21
1093670873,D22
1093670873,D23
1093670873,D24
1093670873,E1
1093670873,E2
1093670873,E3
1093670873,E4
1093670873,E5
1093670873,E6
1093670873,E7
1093670873,E8
1093670873,E9
1093670873,E10
1093670873,E11
1093670873,E12
1093670873,E13
1093670873,E14
1093670873,E15
1093670873,E16
1093670873,E17
1093670873,E18
1093670873,E19
1093670873,E20
1093670873,E21
1093670873,E22
1093670873,E23
1093670873,E24
1093670873,F1
1093670873,F2
1093670873,F3
1093670873,F4
1093670873,F5
1093670873,F6
1093670873,F7
1093670873,F8
1093670873,F9
1093670873,F10
1093670873,F11
1093670873,F12
1093670873,F13
1093670873,F14
1093670873,F15
1093670873,F16
1093670873,F17
1093670873,F18
1093670873,F19
1093670873,F20
1093670873,F21
1093670873,F22
1093670873,F23
1093670873,F24
1093670873,G1
1093670873,G2
1093670873,G3
1093670873,G4
1093670873,G5
1093670873,G6
1093670873,G7
1093670873,G8
1093670873,G9
1093670873,G10
1093670873,G11
1093670873,G12
1093670873,G13
1093670873,G14
1093670873,G15
1093670873,G16
1093670873,G17
1093670873,G18
1093670873,G19
1093670873,G20
1093670873,G21
1093670873,G22
1093670873,G23
1093670873,G24
1093670873,H1
1093670873,H2
1093670873,H3
1093670873,H4
1093670873,H5
1093670873,H6
1093670873,H7
1093670873,H8
1093670873,H9
1093670873,H10
1093670873,H11
1093670873,H12
1093670873,H13
1093670873,H14
1093670873,H15
1093670873,H16
1093670873,H17
1093670873,H18
1093670873,H19
1093670873,H20
1093670873,H21
1093670873,H22
1093670873,H23
1093670873,H24
1093670873,I1
1093670873,I2
1093670873,I3
1093670873,I4
1093670873,I5
1093670873,I6
1093670873,I7
1093670873,I8
1093670873,I9
1093670873,I10
1093670873,I11
1093670873,I12
1093670873,I13
1093670873,I14
1093670873,I15
1093670873,I16
1093670873,I17
1093670873,I18
1093670873,I19
1093670873,I20
1093670873,I21
1093670873,I22
1093670873,I23
1093670873,I24
1093670873,J1
1093670873,J2
1093670873,J3
1093670873,J4
1093670873,J5
1093670873,J6
1093670873,J7
1093670873,J8
1093670873,J9
1093670873,J10
1093670873,J11
1093670873,J12
1093670873,J13
1093670873,J14
1093670873,J15
1093670873,J16
1093670873,J17
1093670873,J18
1093670873,J19
1093670873,J20
1093670873,J21
1093670873,J22
1093670873,J23
1093670873,J24
1093670873,K1
1093670873,K2
1093670873,K3
1093670873,K4
1093670873,K5
1093670873,K6
1093670873,K7
1093670873,K8
1093670873,K9
1093670873,K10
1093670873,K11
1093670873,K12
1093670873,K13
1093670873,K14
1093670873,K15
1093670873,K16
1093670873,K17
1093670873,K18
1093670873,K19
1093670873,K20
1093670873,K21
1093670873,K22
1093670873,K23
1093670873,K24
1093670873,L1
1093670873,L2
1093670873,L3
1093670873,L4
1093670873,L5
1093670873,L6
1093670873,L7
1093670873,L8
1093670873,L9
1093670873,L10
1093670873,L11
1093670873,L12
1093670873,L13
1093670873,L14
1093670873,L15
1093670873,L16
1093670873,L17
1093670873,L18
1093670873,L19
1093670873,L20
1093670873,L21
1093670873,L22
1093670873,L23
1093670873,L24
1093670873,M1
1093670873,M2
1093670873,M3
1093670873,M4
1093670873,M5
1093670873,M6
1093670873,M7
1093670873,M8
1093670873,M9
1093670873,M10
1093670873,M11
1093670873,M12
1093670873,M13
1093670873,M14
1093670873,M15
1093670873,M16
1093670873,M17
1093670873,M18
1093670873,M19
1093670873,M20
1093670873,M21
1093670873,M22
1093670873,M23
1093670873,M24
1093670873,N1
1093670873,N2
1093670873,N3
1093670873,N4
1093670873,N5
1093670873,N6
1093670873,N7
1093670873,N8
1093670873,N9
1093670873,N10
1093670873,N11
1093670873,N12
1093670873,N13
1093670873,N14
1093670873,N15
1093670873,N16
1093670873,N17
1093670873,N18
1093670873,N19
1093670873,N20
1093670873,N21
1093670873,N22
1093670873,N23
1093670873,N24
1093670873,O1
1093670873,O2
1093670873,O3
1093670873,O4
1093670873,O5
1093670873,O6
1093670873,O7
1093670873,O8
1093670873,O9
1093670873,O10
1093670873,O11
1093670873,O12
1093670873,O13
1093670873,O14
1093670873,O15
1093670873,O16
1093670873,O17
1093670873,O18
1093670873,O19
1093670873,O20
1093670873,O21
1093670873,O22
1093670873,O23
1093670873,O24
1093670873,P1
1093670873,P2
1093670873,P3
1093670873,P4
1093670873,P5
1093670873,P6
1093670873,P7
1093670873,P8
1093670873,P9
1093670873,P10
1093670873,P11
1093670873,P12
1093670873,P13
1093670873,P14
1093670873,P15
1093670873,P16
1093670873,P17
1093670873,P18
